,0,1,2,3,4,5,0,1,2,3,4,5
DICE 1,,,,,,,,,,,,
Afrikaans,S,K,O,V,M,I,,,,,,
Croatian,P,N,D,Z,U,G,,,,,,
Czech,N,S,Z,D,U,H,,,,,,
Danish,S,B,T,M,G,U,,,,,,
Dutch,S,B,A,K,M,L,,,,,,
Finish,K,S,V,L,E,I,,,,,,
German,A,B,E,V,M,R,,,,,,
Hungarian,K,E,T,F,L,R,,,,,,
Italian,S,C,P,I,L,B,,,,,,
Norvegian,S,F,K,P,V,G,,,,,,
Polish,P,W,K,N,U,C,,,,,,
Spanish,A,C,R,I,F,O,,,,,,
Swailii,A,M,N,U,S,P,,,,,,
Swedish,S,K,T,P,R,G,,,,,,
turkish,K,T,A,D,P,F,,,,,,
French,D,R,P,S,F,V,,,,,,
English,S,C,T,B,H,I,,,,,,
Portugese,A,D,P,M,B,H,,,,,,
Finnish,K,S,V,M,N,O,,,,,,
DICE 2,,,,,,,,,,,,
Afrikaans,S,B,A,H,P,N,,,,,,
Croatian,P,O,K,I,T,C,,,,,,
Czech,N,V,O,K,T,A,,,,,,
Danish,S,K,A,H,R,O,,,,,,
Dutch,S,G,O,P,R,Z,,,,,,
Finish,K,T,M,H,N,Y,,,,,,
German,A,G,K,H,W,U,,,,,,
Hungarian,K,S,A,V,P,O,,,,,,
Italian,S,R,D,T,V,O,,,,,,
Norvegian,S,A,T,M,D,O,,,,,,
Polish,P,Z,O,D,T,L,,,,,,
Spanish,A,E,P,S,B,H,,,,,,
Swailii,A,K,H,T,L,B,,,,,,
Swedish,S,B,A,O,L,N,,,,,,
turkish,K,M,B,Y,I,U,,,,,,
French,D,E,A,M,I,H,,,,,,
English,S,A,M,U,E,O,,,,,,
Portugese,A,C,R,T,F,O,,,,,,
Finnish,K,T,L,H,E,Y,,,,,,
DICE 3,,,,,,,,,,,,
Afrikaans,G,K,A,D,L,E,,,,,,
Croatian,S,N,K,M,B,L,,,,,,
Czech,P,S,O,R,B,L,,,,,,
Danish,F,B,A,P,V,N,,,,,,
Dutch,V,B,O,T,H,I,,,,,,
Finish,P,S,M,A,O,B,,,,,,
German,S,B,K,F,D,T,,,,,,
Hungarian,M,E,A,H,I,C,,,,,,
Italian,A,C,D,F,E,N,,,,,,
Norvegian,B,F,T,U,H,E,,,,,,
Polish,S,W,O,R,B,A,,,,,,
Spanish,D,C,P,T,V,G,,,,,,
Swailii,W,M,H,I,V,J,,,,,,
Swedish,F,K,A,M,U,D,,,,,,
turkish,S,T,B,G,E,N,,,,,,
French,C,R,A,B,G,O,,,,,,
English,P,C,M,D,N,G,,,,,,
Portugese,E,D,R,S,L,N,,,,,,
Finnish,P,S,L,R,J,U,,,,,,
DICE 4,,,,,,,,,,,,
Afrikaans,G,B,O,T,R,F,,,,,,
Croatian,S,O,D,R,V,A,,,,,,
Czech,P,V,Z,M,C,I,,,,,,
Danish,F,K,T,L,D,I,,,,,,
Dutch,V,G,A,D,W,U,,,,,,
Finish,P,T,V,R,J,U,,,,,,
German,S,G,E,P,Z,L,,,,,,
Hungarian,M,S,T,B,N,J,,,,,,
Italian,A,R,P,M,G,U,,,,,,
Norvegian,B,A,K,R,L,I,,,,,,
Polish,S,Z,K,M,G,F,,,,,,
Spanish,D,E,R,M,L,N,,,,,,
Swailii,W,K,N,Y,Z,F,,,,,,
Swedish,F,B,T,H,V,I,,,,,,
turkish,S,M,A,H,O,R,,,,,,
French,C,E,P,T,L,N,,,,,,
English,P,A,T,R,F,L,,,,,,
Portugese,E,C,P,I,G,V,,,,,,
Finnish,P,T,V,A,I,F,,,,,,
