,Afrikaans,Croatian,Czech,Danish,Dutch,Finish,German,Hungarian,Italian,Norvegian,Polish,Spanish,Swailii,Swedish,turkish,French,English,Portugese,Finnish
A,0.05830289944951038,0.021376489418459897,0.01854056287816642,0.054842693009771286,0.07292834856375123,0.05370628588602441,0.11152738900308248,0.05856905158069883,0.12225190753277333,0.0731527577623477,0.021409066084107045,0.11892547977831723,0.19694830582102518,0.05699393073902178,0.07257971902155189,0.07706666183403536,0.06612976868514299,0.13761056518851603,0.04195796662752744
B,0.07927356807619573,0.03876934020985239,0.024319840129278177,0.06698969182862666,0.07930735834600992,0.015247301231176765,0.06776164639463833,0.0454242928452579,0.02424887359340684,0.07765622952967378,0.0299927180047333,0.02802523702651949,0.0067875760208514335,0.06197786504819707,0.07196723194120123,0.04945076282222217,0.05215784543425929,0.03445446046726086,0.006441813618295613
C,0.0028864337613217876,0.02418637737862351,0.023678383529368227,0.020146569311714806,0.018820577164366373,0.0092399414291156,0.00738971136153366,0.02601220188574598,0.0940068376842439,0.004830996986767981,0.026715820134716912,0.11617734621902624,0.0032037358818418765,0.008739735808639772,0.017264479577383914,0.10656210923645289,0.08345641115781757,0.09385403491554532,0.0011741767297562236
D,0.04597621946084174,0.058900942557353723,0.04901591922581123,0.03518603028025341,0.041677307602624884,0.010117106821970373,0.03734843935139347,0.020743205768164172,0.07223719066271198,0.0406950085156557,0.04889859821591116,0.11629757706224522,0.004289748045178106,0.032002856122813284,0.06415802166673047,0.11198587490906455,0.048828849299153064,0.10461127162128435,0.005913972703084099
E,0.024193980598877583,0.01202205228525698,0.007789996977752558,0.028206539246214968,0.01880392178634481,0.03479306235562592,0.06034980131297228,0.07775929007210206,0.029535626146217766,0.027184593213677454,0.019506644820680867,0.11231850867952183,0.002877932232841008,0.02456265619421635,0.037667955441564906,0.0951527845017514,0.03604661880743483,0.12919682401363797,0.026866025357908458
F,0.01808423486536356,0.013658189578516807,0.009116085141027934,0.07774750348974552,0.015084220694862371,0.00999828760540837,0.04481635652406157,0.057515252357182474,0.03380351846401159,0.07680466395912486,0.020835608956854178,0.02868936930334814,0.004941355343179844,0.0829418064976794,0.027485357730735367,0.03573471960814264,0.03401878214046092,0.03140030203173448,0.006797298316295203
G,0.0905283628484584,0.025111150631335587,0.0056929273242008,0.042158810265220656,0.07613728472923907,0.009093164749833129,0.06039406875323706,0.022296173044925125,0.02613942536282745,0.03502882221931089,0.02910977607864555,0.01589337241789951,0.0022806255430060816,0.036472688325598,0.0440607893427248,0.03109280464346831,0.031009180998355867,0.025499261841209143,0.0034794411349656903
H,0.04716294952186263,0.013053530144051218,0.02274703788911436,0.05348035004831955,0.03731359856097534,0.05637622357582937,0.05076442491430561,0.04797559622850804,0.0008377295265696108,0.040432988340102186,0.017176406335335882,0.01770256034443274,0.07319721980886186,0.04399857193859336,0.0435631435899399,0.019044019230420723,0.04000368697575814,0.022813125267027355,0.06083097241223298
I,0.03166655182182205,0.046167526231548996,0.01102811923691336,0.030152743476860304,0.023517393766447185,0.024004976428364244,0.015872828497607346,0.034608985024958405,0.05882219756832024,0.023712825887593346,0.01971600218459858,0.058077222553016075,0.03475238922675934,0.031631560157086756,0.04153428013627838,0.03323642181622366,0.03262544827837524,0.036721813544050526,0.021813833740883973
J,0.008973210525912824,0.015258758669749245,0.01073206234464723,0.013012724149038977,0.006634392245255993,0.02766390936190586,0.005831497464213463,0.02273987798114254,0.0004528267711187085,0.007811476483689244,0.015028217731658475,0.005977190491457885,0.006190269331016508,0.011181720813995003,0.001990583011139609,0.007650227953492827,0.008913049536234183,0.005689533373660633,0.02614428369833353
K,0.09002304553215273,0.054241508091765964,0.04598133608008339,0.0638153656179534,0.062452115788188,0.13324526732576386,0.059746288544029136,0.1031059345535219,0.0006452781488441597,0.06724092755142146,0.06532860003640997,0.00014313195621307195,0.11337966985230234,0.075872902534809,0.1080656892393676,0.0030937470065732415,0.013219522965357434,5.922190872211812e-05,0.15234135148818823
